bdc_name,ticker,cik,period_end,filing_date,form_type,accession,source_scale,source_url,total_investments_fv,total_assets,total_liabilities,net_assets,nav_per_share,shares_outstanding,total_debt_outstanding,period_end_prior,period_end_prior_kind,total_investments_fv_prior,total_assets_prior,total_liabilities_prior,net_assets_prior,nav_per_share_prior,shares_outstanding_prior,total_debt_outstanding_prior
ARES CAPITAL CORP,ARCC,1287750,2020-06-30,2020-08-04,10-Q,0001287750-20-000031,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000031/arccq2-202010q.htm,13842000000.0,14517000000.0,7826000000.0,6691000000.0,,423000000.0,7398000000.0,2019-12-31,prior_fiscal_year_end,14426000000.0,14905000000.0,7438000000.0,7467000000.0,,431000000.0,6971000000.0
ARES CAPITAL CORP,ARCC,1287750,2020-09-30,2020-10-27,10-Q,0001287750-20-000038,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000038/arccq3-202010q.htm,14358000000.0,14950000000.0,7987000000.0,6963000000.0,,423000000.0,7550000000.0,2019-12-31,prior_fiscal_year_end,14426000000.0,14905000000.0,7438000000.0,7467000000.0,,431000000.0,6971000000.0
ARES CAPITAL CORP,ARCC,1287750,2020-12-31,2021-02-10,10-K,0001287750-21-000005,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000005/arccq4-202010k.htm,15515000000.0,16196000000.0,9020000000.0,7176000000.0,,423000000.0,8491000000.0,2019-12-31,prior_fiscal_year_end,14426000000.0,14905000000.0,7438000000.0,7467000000.0,,431000000.0,6971000000.0
ARES CAPITAL CORP,ARCC,1287750,2021-03-31,2021-04-28,10-Q,0001287750-21-000035,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000035/arccq1-2110q.htm,15429000000.0,16021000000.0,8389000000.0,7632000000.0,,437000000.0,8005000000.0,2020-12-31,prior_fiscal_year_end,15515000000.0,16196000000.0,9020000000.0,7176000000.0,,423000000.0,8491000000.0
ARES CAPITAL CORP,ARCC,1287750,2021-06-30,2021-07-28,10-Q,0001287750-21-000063,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000063/arccq2-2110q.htm,17136000000.0,18026000000.0,9948000000.0,8078000000.0,,445000000.0,9233000000.0,2020-12-31,prior_fiscal_year_end,15515000000.0,16196000000.0,9020000000.0,7176000000.0,,423000000.0,8491000000.0
ARES CAPITAL CORP,ARCC,1287750,2021-09-30,2021-10-26,10-Q,0001287750-21-000074,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000074/arccq3-2110q.htm,17677000000.0,19154000000.0,10617000000.0,8537000000.0,,461000000.0,9895000000.0,2020-12-31,prior_fiscal_year_end,15515000000.0,16196000000.0,9020000000.0,7176000000.0,,423000000.0,8491000000.0
ARES CAPITAL CORP,ARCC,1287750,2021-12-31,2022-02-09,10-K,0001287750-22-000007,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000007/arccq4-202110k.htm,20009000000.0,20843000000.0,11975000000.0,8868000000.0,,468000000.0,11020000000.0,2020-12-31,prior_fiscal_year_end,15515000000.0,16196000000.0,9020000000.0,7176000000.0,,423000000.0,8491000000.0
ARES CAPITAL CORP,ARCC,1287750,2022-06-30,2022-07-26,10-Q,0001287750-22-000040,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000040/arccq2-202210q.htm,21170000000.0,21797000000.0,12462000000.0,9335000000.0,,496000000.0,11728000000.0,2021-12-31,prior_fiscal_year_end,20009000000.0,20843000000.0,11975000000.0,8868000000.0,,468000000.0,11020000000.0
ARES CAPITAL CORP,ARCC,1287750,2022-09-30,2022-10-25,10-Q,0001287750-22-000052,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000052/arcc-20220930.htm,21339000000.0,22038000000.0,12602000000.0,9436000000.0,,508000000.0,11816000000.0,2021-12-31,prior_fiscal_year_end,20009000000.0,20843000000.0,11975000000.0,8868000000.0,,468000000.0,11020000000.0
ARES CAPITAL CORP,ARCC,1287750,2022-12-31,2023-02-07,10-K,0001287750-23-000010,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775023000010/arcc-20221231.htm,21780000000.0,22398000000.0,12843000000.0,9555000000.0,,519000000.0,12210000000.0,2021-12-31,prior_fiscal_year_end,20009000000.0,20843000000.0,11975000000.0,8868000000.0,,468000000.0,11020000000.0
ARES CAPITAL CORP,ARCC,1287750,2023-03-31,2023-04-25,10-Q,0001287750-23-000021,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775023000021/arcc-20230331.htm,21148000000.0,21812000000.0,11763000000.0,10049000000.0,,545000000.0,11164000000.0,2022-12-31,prior_fiscal_year_end,21780000000.0,22398000000.0,12843000000.0,9555000000.0,,519000000.0,12210000000.0
ARES CAPITAL CORP,ARCC,1287750,2023-06-30,2023-07-25,10-Q,0001287750-23-000036,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775023000036/arcc-20230630.htm,21496000000.0,22231000000.0,11877000000.0,10354000000.0,,557000000.0,11371000000.0,2022-12-31,prior_fiscal_year_end,21780000000.0,22398000000.0,12843000000.0,9555000000.0,,519000000.0,12210000000.0
ARES CAPITAL CORP,ARCC,1287750,2023-09-30,2023-10-24,10-Q,0001287750-23-000045,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775023000045/arcc-20230930.htm,21929000000.0,22920000000.0,12105000000.0,10815000000.0,,569000000.0,11517000000.0,2022-12-31,prior_fiscal_year_end,21780000000.0,22398000000.0,12843000000.0,9555000000.0,,519000000.0,12210000000.0
ARES CAPITAL CORP,ARCC,1287750,2023-12-31,2024-02-07,10-K,0001287750-24-000011,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000011/arcc-20231231.htm,22874000000.0,23800000000.0,12599000000.0,11201000000.0,,582000000.0,11884000000.0,2022-12-31,prior_fiscal_year_end,21780000000.0,22398000000.0,12843000000.0,9555000000.0,,519000000.0,12210000000.0
ARES CAPITAL CORP,ARCC,1287750,2024-03-31,2024-05-01,10-Q,0001287750-24-000028,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000028/arcc-20240331.htm,23124000000.0,24256000000.0,12384000000.0,11872000000.0,,608000000.0,11695000000.0,2023-12-31,prior_fiscal_year_end,22874000000.0,23800000000.0,12599000000.0,11201000000.0,,582000000.0,11884000000.0
ARES CAPITAL CORP,ARCC,1287750,2024-06-30,2024-07-30,10-Q,0001287750-24-000039,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000039/arcc-20240630.htm,24973000000.0,26092000000.0,13728000000.0,12364000000.0,,630000000.0,12960000000.0,2023-12-31,prior_fiscal_year_end,22874000000.0,23800000000.0,12599000000.0,11201000000.0,,582000000.0,11884000000.0
ARES CAPITAL CORP,ARCC,1287750,2024-09-30,2024-10-30,10-Q,0001287750-24-000054,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775024000054/arcc-20240930.htm,25918000000.0,27100000000.0,14327000000.0,12773000000.0,,646000000.0,13500000000.0,2023-12-31,prior_fiscal_year_end,22874000000.0,23800000000.0,12599000000.0,11201000000.0,,582000000.0,11884000000.0
ARES CAPITAL CORP,ARCC,1287750,2024-12-31,2025-02-05,10-K,0001287750-25-000007,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000007/arcc-20241231.htm,26720000000.0,28254000000.0,14899000000.0,13355000000.0,,672000000.0,13727000000.0,2023-12-31,prior_fiscal_year_end,22874000000.0,23800000000.0,12599000000.0,11201000000.0,,582000000.0,11884000000.0
ARES CAPITAL CORP,ARCC,1287750,2025-03-31,2025-04-29,10-Q,0001287750-25-000020,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000020/arcc-20250331.htm,27130000000.0,28317000000.0,14645000000.0,13672000000.0,,690000000.0,13922000000.0,2024-12-31,prior_fiscal_year_end,26720000000.0,28254000000.0,14899000000.0,13355000000.0,,672000000.0,13727000000.0
ARES CAPITAL CORP,ARCC,1287750,2025-06-30,2025-07-29,10-Q,0001287750-25-000038,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000038/arcc-20250630.htm,27886000000.0,29071000000.0,15037000000.0,14034000000.0,,706000000.0,14109000000.0,2024-12-31,prior_fiscal_year_end,26720000000.0,28254000000.0,14899000000.0,13355000000.0,,672000000.0,13727000000.0
ARES CAPITAL CORP,ARCC,1287750,2025-09-30,2025-10-28,10-Q,0001287750-25-000046,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000046/arcc-20250930.htm,28693000000.0,30806000000.0,16484000000.0,14322000000.0,,716000000.0,15605000000.0,2024-12-31,prior_fiscal_year_end,26720000000.0,28254000000.0,14899000000.0,13355000000.0,,672000000.0,13727000000.0
ARES CAPITAL CORP,ARCC,1287750,2025-12-31,2026-02-04,10-K,0001287750-26-000006,millions,https://www.sec.gov/Archives/edgar/data/1287750/000128775026000006/arcc-20251231.htm,29485000000.0,31235000000.0,16917000000.0,14318000000.0,19.94,718000000.0,15991000000.0,2024-12-31,prior_fiscal_year_end,26720000000.0,28254000000.0,14899000000.0,13355000000.0,19.89,672000000.0,13727000000.0
ARES CAPITAL CORP,ARCC,1287750,2026-03-31,2026-04-28,10-Q,0001628280-26-027688,millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027688/arcc-20260331.htm,29499000000.0,30679000000.0,16614000000.0,14065000000.0,19.59,718000000.0,15848000000.0,2025-12-31,prior_fiscal_year_end,29485000000.0,31235000000.0,16917000000.0,14318000000.0,19.94,718000000.0,15991000000.0
ARES CAPITAL CORP,ARCC,1287750,2026-06-30,2026-07-29,10-Q,0001628280-26-050307,millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,29349000000.0,30498000000.0,16607000000.0,13891000000.0,19.35,718000000.0,15773000000.0,2025-12-31,prior_fiscal_year_end,29485000000.0,31235000000.0,16917000000.0,14318000000.0,19.94,718000000.0,15991000000.0
